39	24
64	7
47	4
29	0
47	66
53	17
27	16
97	51
43	30
59	1
94	0
33	69
84	7
62	42
11	11
65	49
55	58
66	2
51	37
32	23
99	7
7	53
69	48
31	31
99	68
a	q
49	63
62	29
100	56
26	28
43	57
90	24
21	68
69	39
55	71
15	72
6	22
3	64
94	48
21	15
78	16
57	17
5	5
14	55
14	21
4	59
22	73
87	18
20	58
48	61
a	q
87	3
74	11
50	15
80	60
44	27
52	4
59	17
17	51
27	10
75	74
36	20
89	28
72	8
42	60
63	14
15	31
25	74
34	39
48	69
57	72
93	27
84	52
25	13
36	49
a	q
49	26
5	75
44	45
16	28
43	29
79	0
15	19
21	8
80	47
89	50
19	28
56	61
4	0
43	15
11	42
75	59
72	7
70	61
36	21
53	57
35	8
47	14
15	71
20	44
